Game Name,ROM SIZE (bytes),ROM SIZE (Mb)
Bounty Sword (Japan) (Beta),"3,145,728",24
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan),"3,145,728",24
Front Mission Series - Gun Hazard (Japan),"3,145,728",24
Double Dragon V - The Shadow Falls (USA),"3,145,728",24
Wonder Project J - Kikai no Shounen Pino (Japan),"3,145,728",24
Ranma 1-2 - Chougi Ranbu Hen (Japan),"2,621,440",20
Zootto Mahjong! (Japan) (Rev 1) (NP),"2,621,440",20
Zootto Mahjong! (Japan) (NP),"2,621,440",20
Lufia II - Rise of the Sinistrals (USA),"2,621,440",20
Parlor! Parlor! 3 (Japan),"2,621,440",20
Lufia (Europe),"2,621,440",20
Lodoss-tou Senki (Japan),"2,621,440",20
Lady Stalker - Kako kara no Chousen (Japan),"2,621,440",20
Stardust Suplex (Japan),"2,621,440",20
Street Fighter II Turbo (Europe) (Rev 1),"2,621,440",20
Street Fighter II Turbo (Europe),"2,621,440",20
Street Fighter II Turbo (Japan),"2,621,440",20
Street Fighter II Turbo (USA) (Rev 1),"2,621,440",20
Street Fighter II Turbo (USA),"2,621,440",20
Shin Star Trek - Ooinaru Isan IFD no Nazo o Oe (Japan),"2,621,440",20
Shin Nihon Pro Wrestling Kounin - '94 Battlefield in Tokyo Dome (Japan),"2,621,440",20
Breath of Fire II - Shimei no Ko (Japan) (Rev 1),"2,621,440",20
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan),"2,621,440",20
King Arthur & The Knights of Justice (USA),"2,621,440",20
Chaos Seed - Fuusui Kairouki (Japan),"2,621,440",20
Kat's Run - Zen-Nihon K-Car Senshuken (Japan),"2,621,440",20
Justice League Task Force (USA),"2,621,440",20
Justice League Task Force (USA) (Beta),"2,621,440",20
Natsuki Crisis Battle (Japan),"2,621,440",20
Justice League Task Force (Japan) (En),"2,621,440",20
Justice League Task Force (Europe),"2,621,440",20
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan),"2,621,440",20
Seijuu Maden Beasts & Blades (Japan),"2,621,440",20
Super Famista 5 (Japan),"2,621,440",20
Breath of Fire II - Shimei no Ko (Japan),"2,621,440",20
Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Rev 1),"2,621,440",20
Garou Densetsu 2 - Aratanaru Tatakai (Japan),"2,621,440",20
Ossu!! Karate-bu (Japan),"2,621,440",20
Dual Orb II (Japan),"2,621,440",20
Gekitou Burning Pro Wres (Japan),"2,621,440",20
Jikkyou Powerful Pro Yakyuu 2 (Japan),"2,621,440",20
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 2),"2,621,440",20
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 1),"2,621,440",20
Monstania (Japan),"2,621,440",20
Arabian Nights - Sabaku no Seirei Ou (Japan),"2,621,440",20
Arabian Nights - Sabaku no Seirei Ou (Japan) (Beta),"2,621,440",20
Super Mario All-Stars + Super Mario World (USA),"2,621,440",20
Super Mario All-Stars and Super Mario World (Europe),"2,621,440",20
JB The Super Bass (Japan),"2,621,440",20
J.League '96 Dream Stadium (Japan),"2,621,440",20
Verne World (Japan),"2,621,440",20
Estpolis Denki II (Japan),"2,621,440",20
Ruin Arm (Japan),"2,621,440",20
Super Power League 3 (Japan),"2,621,440",20
Holy Umbrella - Dondera no Mubou!! (Japan),"2,621,440",20
Hokuto no Ken 7 - Seiken Retsuden Denshousha e no Michi (Japan),"2,621,440",20
Fatal Fury 2 (Europe),"2,621,440",20
Power Instinct (USA) (Beta),"2,621,440",20
Fatal Fury 2 (USA),"2,621,440",20
Feda - The Emblem of Justice (Japan) (Beta),"2,621,440",20
Feda - The Emblem of Justice (Japan),"2,621,440",20
Fighter's History (Japan),"2,621,440",20
Fighter's History (USA) (Beta),"2,621,440",20
Fighter's History (USA) (Rev 1),"2,621,440",20
Gojira - Kaijuu Daikessen (Japan),"2,621,440",20
Gokinjo Boukentai (Japan),"2,621,440",20
Heiwa Pachinko World 2 (Japan),"2,621,440",20
Power Instinct (USA),"2,621,440",20
Ring ni Kakero (Japan) (NP),"2,621,440",20
Super Big 2 (China) (Unl),"2,162,688",17
Judge Dredd (USA) (Sample),"2,097,152",16
Daisenryaku Expert WWII - War in Europe (Japan),"2,097,152",16
Magical Drop 2 (Japan),"2,097,152",16
Magical Pop'n (Japan),"2,097,152",16
Maerchen Adventure Cotton 100% (Japan),"2,097,152",16
Parlor! Parlor! (Japan),"2,097,152",16
Snoopy Concert (Japan),"2,097,152",16
Mahoujin Guruguru (Japan),"2,097,152",16
Madou Monogatari - Hanamaru Daiyouchienji (Japan),"2,097,152",16
Madden NFL 98 (USA),"2,097,152",16
Parlor! Parlor! 2 (Japan),"2,097,152",16
Demolition Man (Europe),"2,097,152",16
Sougou Kakutougi Rings - Astral Bout 3 (Japan),"2,097,152",16
Makeruna! Makendou 2 - Kimero! Youkai Souridaijin (Japan),"2,097,152",16
Mark Davis' The Fishing Master (USA),"2,097,152",16
Demolition Man (USA),"2,097,152",16
Marko's Magic Football (Europe) (EnFrDeEs),"2,097,152",16
Marvel Super Heroes - War of the Gems (Japan),"2,097,152",16
Simulation Pro Yakyuu (Japan),"2,097,152",16
Demon's Blazon - Makaimura Monshou Hen (Japan) (Sample),"2,097,152",16
Demon's Blazon - Makaimura Monshou Hen (Japan),"2,097,152",16
Demon's Crest (Europe),"2,097,152",16
Demon's Crest (USA),"2,097,152",16
Densetsu no Ogre Battle - The March of the Black Queen (Japan) (NP),"2,097,152",16
Parlor! Parlor! IV CR (Japan),"2,097,152",16
Marvel Super Heroes - War of the Gems (USA) (Beta),"2,097,152",16
Marvel Super Heroes in War of the Gems (Europe),"2,097,152",16
Looney Tunes Basketball (Europe),"2,097,152",16
Looney Tunes B-Ball (USA),"2,097,152",16
Marvel Super Heroes in War of the Gems (USA),"2,097,152",16
Death and Return of Superman The (USA),"2,097,152",16
Captain Commando (Europe),"2,097,152",16
Live A Live (Japan),"2,097,152",16
Little Master - Nijiiro no Maseki (Japan),"2,097,152",16
Captain Commando (Japan),"2,097,152",16
Captain Commando (USA),"2,097,152",16
Zero the Kamikaze Squirrel (USA),"2,097,152",16
Zero the Kamikaze Squirrel (Europe),"2,097,152",16
Zero the Kamikaze Squirrel (Europe) (Rev 1),"2,097,152",16
Lion King The (USA) (Beta 1),"2,097,152",16
Zero 4 Champ RR (Japan),"2,097,152",16
Speed Racer in My Most Dangerous Adventures (USA),"2,097,152",16
Peace Keepers The (USA),"2,097,152",16
Light Fantasy II (Japan),"2,097,152",16
Pebble Beach no Hatou New - Tournament Edition (Japan),"2,097,152",16
Spider-Man (Europe),"2,097,152",16
Mary Shelley's Frankenstein (USA) (Beta),"2,097,152",16
Spider-Man (USA),"2,097,152",16
Spider-Man - Venom - Maximum Carnage (Europe),"2,097,152",16
Spider-Man - Venom - Maximum Carnage (USA),"2,097,152",16
Lethal Enforcers (USA),"2,097,152",16
Lethal Enforcers (Japan),"2,097,152",16
Lethal Enforcers (Europe),"2,097,152",16
Zen-Nihon Pro Wres' - Sekai Saikyou Tag (Japan),"2,097,152",16
SimCity Jr. (Japan),"2,097,152",16
Lemmings 2 - The Tribes (USA),"2,097,152",16
SimCity 2000 - The Ultimate City Simulator (USA),"2,097,152",16
Lemmings 2 - The Tribes (Japan),"2,097,152",16
Sports Illustrated Championship Football & Baseball (USA) (Beta),"2,097,152",16
Sports Illustrated Championship Football & Baseball (USA),"2,097,152",16
Lemmings 2 - The Tribes (Europe),"2,097,152",16
SimCity 2000 - The Ultimate City Simulator (Europe),"2,097,152",16
SimCity 2000 (Japan),"2,097,152",16
Zen-Nihon Pro Wres (Japan),"2,097,152",16
Mary Shelley's Frankenstein (USA),"2,097,152",16
Zen-Nihon GT Senshuken (Japan),"2,097,152",16
Last Battle The (Japan),"2,097,152",16
Mask (Japan),"2,097,152",16
Mask The (Europe),"2,097,152",16
Laplace no Ma (Japan),"2,097,152",16
Pagemaster The (USA),"2,097,152",16
