Investment Name,Symbol,Shares,Share Price,Total Value
AMERICA MOVIL SAB DE CV SPON ADR REPSTG CL B,AMX,5.0,24.81,124.05
AMERICAN BATTERY TECHNOLOGY CO NV,ABAT,25.0,2.66,66.5
AMERICAN BITCOIN CORP CL A,ABTC,100.0,0.86,86.0
AMERICAN INTL GROUP INC,AIG,1.0,72.95,72.95
AMERICAN TOWER CORP NEW,AMT,1.0,169.52,169.52
AMERIS BANCORP,ABCB,1.0,75.89,75.89
AMGEN INC,AMGN,1.057,348.77,368.64988999999997
ANFIELD ENERGY INC,AEC,5.0,5.31,26.549999999999997
ANGEL STUDIOS INC CL A,ANGX,25.0,3.13,78.25
ANGI INC CL A,ANGI,15.0,6.48,97.2
ANHEUSER BUSCH INBEV SA/NV,BUD,1.0,67.57,67.57
APOGEE ENTERPRISES INC,APOG,1.007,32.46,32.687219999999996
APOLLO GLOBAL MANAGEMENT INC,APO,1.005,108.42,108.96209999999999
APPFOLIO INC CL A,APPF,1.0,155.68,155.68
APPLE INC,AAPL,11.004,248.8,2737.7952
APPLIED DIGITAL CORP,APLD,2.0,23.76,47.52
APPLIED MATERIALS INC,AMAT,1.009,337.17,340.20453
APPLIED OPTOELECTRONICS INC,AAOI,1.0,98.21,98.21
APTIV PLC,APTV,1.0,67.04,67.04
ARCH CAPITAL GROUP LTD,ACGL,1.0,93.42,93.42
ARCHER AVIATION INC CL A,ACHR,5.0,5.09,25.45
ARCHER DANIELS MIDLAND COMPANY,ADM,1.008,72.23,72.80784
ARCOS DORADOS HLDGS INC CL A,ARCO,10.0,8.07,80.7
ARENA GROUP HOLDINGS INC,AREN,25.0,2.29,57.25
ARES MANAGEMENT CORP CL A,ARES,1.0,106.28,106.28
ARGO BLOCKCHAIN PLC ADR,ARBK,25.0,3.0,75.0
ARIS MINING CORP,ARIS,55.0,17.14,942.7
ARM HOLDINGS PLC SPON ADR,ARM,3.0,144.13,432.39
AST SPACEMOBILE INC CL A,ASTS,1.0,78.67,78.67
AT&T INC,T,3.032,29.1,88.2312
ATLANTA BRAVES HOLDINGS INC SER A,BATRA,1.0,46.19,46.19
ATLASSIAN CORP CL A,TEAM,3.0,65.12,195.36
ATOMERA INC,ATOM,25.0,3.74,93.5
ATOSSA THERAPEUTICS INC PAR $0.18,ATOS,10.0,4.72,47.199999999999996
ATOUR LIFESTYLE HOLDINGS LTD SPON ADS,ATAT,1.0,34.92,34.92
AUTODESK INC,ADSK,1.0,229.84,229.84
AVERY DENNISON CORP,AVY,1.022,167.78,171.47116
AXT INC,AXTI,1.0,60.63,60.63
BAIDU INC SPON ADR REPSTG ORD SHS CL A,BIDU,1.0,108.12,108.12
BALLARD POWER SYSTEMS INC,BLDP,25.0,2.385,59.62499999999999
BALLYS CORP,BALY,5.0,10.53,52.65
BANK NEW YORK MELLON CORP,BK,1.0,114.66,114.66
BANK OF AMERICA CORP,BAC,2.016,46.97,94.69152
BARRICK MINING CORP,B,1.019,38.59,39.32321
BCE INC,BCE,1.0,25.25,25.25
BEST BUY COMPANY INC,BBY,1.014,62.98,63.86172
BETA TECHNOLOGIES INC CL A,BETA,2.0,14.1,28.2
BETTER HOME & FINANCE HOLDING CO CL A,BETR,1.0,30.66,30.66
BEYOND MEAT INC,BYND,110.0,0.6371,70.081
BIGBEAR AI HOLDINGS INC,BBAI,40.0,3.14,125.60000000000001
BILL HOLDINGS INC,BILL,1.0,37.0,37.0
BIOXCEL THERAPEUTICS INC,BTAI,25.0,1.26,31.5
BIRKENSTOCK HOLDING LTD,BIRK,1.0,34.19,34.19
BIT DIGITAL INC,BTBT,125.0,1.31,163.75
BITFARMS LTD,BITF,25.0,1.95,48.75
BITGO HOLDINGS INC CL A,BTGO,7.0,7.67,53.69
BITMINE IMMERSION TECHNOLOGIES INC,BMNR,1.0,18.39,18.39
BLACKBERRY LTD,BB,105.0,3.16,331.8
BLACKSTONE INC,BX,2.023,108.07,218.62561
BLAIZE HOLDINGS INC,BZAI,50.0,1.73,86.5
BLOCK INC CL A,XYZ,2.0,55.98,111.96
BLUE OWL CAPITAL INC CL A,OWL,11.0,8.84,97.24
BOEING COMPANY,BA,2.0,190.52,381.04
BOOZ ALLEN HAMILTON HOLDING CORP CL A,BAH,1.007,78.49,79.03942999999998
BOSTON SCIENTIFIC CORP,BSX,2.0,69.17,138.34
BREAKWAVE TANKER SHIPPING ETF,BWET,1.0,119.06,119.06
BRERA HOLDINGS PLC CL B,SLMT,100.0,0.7521,75.21
BRIGHT HORIZONS FAMILY SOLUTIONS INC,BFAM,1.0,77.99,77.99
BRIXMOR PROPERTY GRP INC,BRX,14.070999999999998,28.38,399.3349799999999
BROADCOM INC,AVGO,2.008,300.68,603.76544
BROOKFIELD CORP LTD VTG SHS CL A,BN,1.003,39.0,39.117
BUILD A BEAR WORKSHOP INC,BBW,10.0,37.28,372.8
BUMBLE INC CL A,BMBL,52.0,3.22,167.44
BUZZFEED INC CL A,BZFD,100.0,0.587,58.699999999999996
CAESARS ENTERTAINMENT INC,CZR,5.0,25.85,129.25
CALLAWAY GOLF CO,CALY,10.0,13.5,135.0
CAMBRIA CANNABIS ETF,TOKE,23.0,5.0534,116.2282
CAMECO CORP,CCJ,1.002,103.92,104.12784
CANAAN INC SPON ADR,CAN,717.0,0.4105,294.32849999999996
CAPITAL ONE FINANCIAL CORP,COF,1.008,176.1,177.5088
CAPRI HOLDINGS LTD,CPRI,1.0,17.27,17.27
CARGURUS INC CL A,CARG,1.0,35.01,35.01
CARMAX INC,KMX,1.0,40.86,40.86
CARNIVAL CORP PAIRED CTF 1 COM CARNIVL CRP & 1 TR SH BEN INT P&O PRINCESS,CCL,2.005,24.19,48.50095
CARS COM INC,CARS,4.0,7.96,31.84
CATERPILLAR INC,CAT,1.013,695.4,704.4401999999999
CDW CORP,CDW,2.074,118.17,245.08458
CECO ENVIRONMENTAL CORP,CECO,5.0,60.95,304.75
CELSIUS HOLDINGS INC,CELH,1.0,33.94,33.94
CEMEX S A B DE CV SPONS ADR NEW REPS TEN ORD PARTICIPATION CERTS,CX,16.16,10.75,173.72
CENTURY ALUMINUM COMPANY,CENX,1.0,49.65,49.65
CERAGON NETWORKS LTD REG SHS,CRNT,45.0,2.12,95.4
CHEMOURS COMPANY,CC,1.005,21.6,21.708
CHENIERE ENERGY INC,LNG,1.0,296.91,296.91
CHICAGO ATLANTIC REAL ESTATE FINANCE INC,REFI,54.0,11.42,616.68
CHILDRENS PLACE INC,PLCE,22.0,3.15,69.3
CIMPRESS PLC EURO,CMPR,1.0,72.18,72.18
CINEMARK HOLDINGS INC,CNK,1.003,28.06,28.144179999999995
CINEVERSE CORP PAR $0.001 CL A,CNVS,25.0,2.4,60.0
CIPHER DIGITAL INC,CIFR,2.0,13.745,27.49
CIRCLE INTERNET GROUP CL A,CRCL,1.0,93.66,93.66
CISCO SYSTEMS INC,CSCO,1.018,79.92,81.35856
CITIGROUP INC,C,1.025,107.38,110.06449999999998
CLEANSPARK INC,CLSK,5.0,8.66,43.3
CLEAR CHANNEL OUTDOOR HOLDINGS INC,CCO,25.0,2.35,58.75
CLEVELAND CLIFFS INC,CLF,12.0,8.11,97.32
CLOROX COMPANY,CLX,1.042,102.04,106.32568
CLOUDFLARE INC CL A,NET,2.0,203.02,406.04
CME GROUP INC CL A,CME,1.025,293.78,301.12449999999995
CNA FINANCIAL CORP,CNA,2.106,44.88,94.51728
COCA-COLA COMPANY,KO,1.022,75.71,77.37562
COGENT COMMUNICATIONS HOLDINGS INC,CCOI,15.065,17.62,265.44530000000003
COGNIZANT TECHNOLOGY SOLUTIONS CORP CL A,CTSH,1.0,59.73,59.73
COINBASE GLOBAL INC CL A,COIN,1.0,161.14,161.14
COMCAST CORP CL A,CMCSA,13.11,28.33,371.4063
CONDUENT INC,CNDT,25.0,1.27,31.75
CONOCOPHILLIPS,COP,1.0,133.8,133.8
CORE SCIENTIFIC INC,CORZ,5.0,15.07,75.35
COREWEAVE INC CL A,CRWV,3.0,74.81,224.43
CORNING INC,GLW,1.0,136.81,136.81
CORSAIR GAMING INC,CRSR,201.0,5.32,1069.3200000000002
COTY INC CL A,COTY,340.0,2.0,680.0
CRITICAL METALS CORP,CRML,14.0,7.04,98.56
CS DISCO INC,LAW,1.0,3.68,3.68
CUBESMART,CUBE,6.227,35.96,223.92292
CURIOSITYSTREAM INC CL A,CURI,5.0,2.85,14.25
D MARKET ELECTRONIC SERVICES & TRADING SPON ADS REPSTG CL B,HEPS,25.0,2.61,65.25
DELEK U S HOLDINGS INC,DK,1.038,47.43,49.23234
DELL TECHNOLOGIES INC CL C,DELL,1.0,171.81,171.81
DELTA AIRLINES INC,DAL,2.018,64.83,130.82693999999998
DIAGEO PLC SPON ADR,DEO,1.0,74.07,74.07
DIANA SHIPPING INC,DSX,25.0,2.41,60.25
DICKS SPORTING GOODS INC,DKS,1.0,189.36,189.36
DNOW INC,DNOW,2.0,12.25,24.5
DOLBY LABORATORIES INC CL A,DLB,4.0,58.03,232.12
DOMINARI HOLDINGS INC,DOMH,20.0,2.88,57.599999999999994
DOW INC,DOW,5.226,40.82,213.32532
DR REDDYS LABORATORIES LTD ADR,RDY,3.0,13.48,40.44
DRAFTKINGS INC CL A,DKNG,3.0,20.72,62.16
DRAGANFLY INC PAR,DPRO,25.0,4.59,114.75
DRAGONFLY ENERGY HOLDINGS CORP,DFLI,1.0,1.72,1.72
DRILLING TOOLS INTL CORP,DTI,42.0,3.67,154.14
DUKE ENERGY CORP,DUK,1.035,129.99,134.53965
DUOS TECHNOLOGIES GROUP INC PAR $0.001,DUOT,10.0,6.99,69.9
DUPONT DE NEMOURS INC,DD,6.1080000000000005,45.26,276.44808
DUTCH BROS INC CL A,BROS,1.0,46.69,46.69
DWAVE QUANTUM INC,QBTS,35.0,13.9,486.5
DXC TECHNOLOGY CO,DXC,2.0,11.81,23.62
E L F BEAUTY INC,ELF,4.0,61.05,244.2
EASTMAN CHEMICAL CO,EMN,5.185,71.2,369.17199999999997
EASTMAN KODAK CO,KODK,25.0,9.46,236.50000000000003
EBAY INC,EBAY,1.0,87.98,87.98
EDITAS MEDICINE INC,EDIT,25.0,2.23,55.75
EDUCATNL DEVELOPMENT CORP,EDUC,120.0,1.27,152.4
ENDEAVOUR SILVER CORP,EXK,15.0,8.9,133.5
